CIK,name
40417,GENERAL AMERICAN INVESTORS CO INC
18748,CENTRAL SECURITIES CORP
2230,"ADAMS DIVERSIFIED EQUITY FUND, INC."
99614,TRI-CONTINENTAL CORP
32598,ENGEX INC
91847,SOURCE CAPITAL INC /DE/
5094,Invesco Bond Fund
9521,BANCROFT FUND LTD
275694,BARINGS CORPORATE INVESTORS
30125,Insight Select Income Fund
59560,LINCOLN NATIONAL INCOME FUND INC /NEW/
102426,BOULDER GROWTH & INCOME FUND
93284,MORGAN STANLEY INCOME SECURITIES INC
75398,Western Asset Investment Grade Income Fund Inc.
33934,CORNERSTONE TOTAL RETURN FUND INC
65433,MEXICO FUND INC
3906,ALLIED CAPITAL CORP
216851,"ADAMS NATURAL RESOURCES FUND, INC."
313180,KEYCO BOND FUND INC
316762,TRIDAN CORP
351786,BMC FUND INC
748691,KOREA FUND INC
759828,JOHN HANCOCK INVESTORS TRUST
759866,JOHN HANCOCK INCOME SECURITIES TRUST
751414,PARTNERS GROWTH FUND
768213,PARTNERS DEFERRAL FUND
779336,ABERDEEN AUSTRALIA EQUITY FUND INC
786035,LIBERTY ALL STAR GROWTH FUND INC.
790500,ABERDEEN ASIA-PACIFIC INCOME FUND INC
791718,"EUROPEAN EQUITY FUND, INC / MD"
793040,ELLSWORTH GROWTH & INCOME FUND LTD
794685,GABELLI EQUITY TRUST INC
795618,ASIA PACIFIC FUND INC
812090,Virtus Total Return Fund Inc.
799195,LIBERTY ALL STAR EQUITY FUND
801961,MFS MUNICIPAL INCOME TRUST
804116,"ROYCE VALUE TRUST, INC."
805267,TEKLA HEALTHCARE INVESTORS
804123,TAIWAN FUND INC
806628,DNP SELECT INCOME FUND INC
809173,MFS MULTIMARKET INCOME TRUST
809559,TCW STRATEGIC INCOME FUND INC
809708,TEMPLETON EMERGING MARKETS FUND
809844,MFS HIGH YIELD MUNICIPAL TRUST
810766,CREDIT SUISSE ASSET MANAGEMENT INCOME FUND INC
811305,FREEDOM INVESTMENT TRUST /MA/
811922,MFS GOVERNMENT MARKETS INCOME TRUST
812801,NUVEEN MUNICIPAL VALUE FUND INC
813623,"SWISS HELVETIA FUND, INC."
810943,HIGH INCOME SECURITIES FUND
814083,CORNERSTONE STRATEGIC VALUE FUND INC
818851,NUVEEN CALIFORNIA MUNICIPAL VALUE FUND INC
818850,NUVEEN NEW YORK MUNICIPAL VALUE FUND INC
818972,"BNY MELLON STRATEGIC MUNICIPALS, INC."
825202,SPROTT FOCUS TRUST INC.
825345,NEW AMERICA HIGH INCOME FUND INC
826020,Voya PRIME RATE TRUST
826735,MFS INTERMEDIATE INCOME TRUST
827773,PUTNAM PREMIER INCOME TRUST
828803,TEMPLETON GLOBAL INCOME FUND
