CIK,Registrant_Name
2230,"ADAMS DIVERSIFIED EQUITY FUND, INC."
3906,ALLIED CAPITAL CORP
5094,Invesco Bond Fund
9521,BANCROFT FUND LTD
18748,CENTRAL SECURITIES CORP
27367,DAXOR CORP
30125,Insight Select Income Fund
33934,CORNERSTONE TOTAL RETURN FUND INC
40417,GENERAL AMERICAN INVESTORS CO INC
59560,LINCOLN NATIONAL INCOME FUND INC /NEW/
65433,MEXICO FUND INC
75398,Western Asset Investment Grade Income Fund Inc.
91847,SOURCE CAPITAL INC /DE/
102426,"SRH Total Return Fund, Inc."
216851,"ADAMS NATURAL RESOURCES FUND, INC."
313180,KEYCO BOND FUND INC
316762,TRIDAN CORP
351786,BMC FUND INC
748691,KOREA FUND INC
751414,PARTNERS GROWTH FUND
759828,JOHN HANCOCK INVESTORS TRUST
759866,JOHN HANCOCK INCOME SECURITIES TRUST
768213,PARTNERS DEFERRAL FUND
779336,"ABRDN AUSTRALIA EQUITY FUND, INC."
790500,"ABRDN ASIA-PACIFIC INCOME FUND, INC."
791718,"EUROPEAN EQUITY FUND, INC / MD"
793040,ELLSWORTH GROWTH & INCOME FUND LTD
794685,GABELLI EQUITY TRUST INC
801961,MFS MUNICIPAL INCOME TRUST
804116,"ROYCE VALUE TRUST, INC."
804123,TAIWAN FUND INC
805267,TEKLA HEALTHCARE INVESTORS
806628,DNP SELECT INCOME FUND INC
809173,MFS MULTIMARKET INCOME TRUST
809559,TCW STRATEGIC INCOME FUND INC
809708,TEMPLETON EMERGING MARKETS FUND
809844,MFS HIGH YIELD MUNICIPAL TRUST
810766,CREDIT SUISSE ASSET MANAGEMENT INCOME FUND INC
811305,FREEDOM INVESTMENT TRUST /MA/
811922,MFS GOVERNMENT MARKETS INCOME TRUST
812090,Virtus Total Return Fund Inc.
812801,NUVEEN MUNICIPAL VALUE FUND INC
813623,"SWISS HELVETIA FUND, INC."
814083,CORNERSTONE STRATEGIC VALUE FUND INC
818850,NUVEEN NEW YORK MUNICIPAL VALUE FUND
818851,NUVEEN CALIFORNIA MUNICIPAL VALUE FUND
818972,"BNY MELLON STRATEGIC MUNICIPALS, INC."
825202,SPROTT FOCUS TRUST INC.
825345,NEW AMERICA HIGH INCOME FUND INC
826020,Saba Capital Income & Opportunities Fund
826735,MFS INTERMEDIATE INCOME TRUST
827773,PUTNAM PREMIER INCOME TRUST
828803,TEMPLETON GLOBAL INCOME FUND
830271,NUVEEN MUNICIPAL INCOME FUND INC
830487,WESTERN ASSET MUNICIPAL HIGH INCOME FUND INC.
830622,PUTNAM MASTER INTERMEDIATE INCOME TRUST
832327,"BLACKROCK INCOME TRUST, INC."
833021,MFS INTERMEDIATE HIGH INCOME FUND
833040,FRANKLIN UNIVERSAL TRUST
835333,Invesco Municipal Income Opportunities Trust
835948,"BLACKROCK MUNIVEST FUND, INC."
836412,Virtus Total Return Fund Inc.
838131,Nuveen Multi-Market Income Fund
839122,"BNY MELLON MUNICIPAL INCOME, INC."
839533,DWS MUNICIPAL INCOME TRUST
844172,"BLACKROCK MUNIENHANCED FUND, INC."
844790,PUTNAM MANAGED MUNICIPAL INCOME TRUST
845606,MFS HIGH INCOME MUNICIPAL TRUST
845611,GABELLI CONVERTIBLE & INCOME SECURITIES FUND INC
846596,DWS STRATEGIC MUNICIPAL INCOME TRUST
846671,Invesco High Income Trust II
846676,"ABRDN EMERGING MARKETS EQUITY INCOME FUND, INC."
847411,MFS INVESTMENT GRADE MUNICIPAL TRUST
850027,"EAGLE CAPITAL GROWTH FUND, INC."
851170,MFS CHARTER INCOME TRUST
853180,Invesco Senior Loan Fund
854904,Invesco Prime Income Trust
855886,JOHN HANCOCK PREMIUM DIVIDEND FUND
855887,"BNY MELLON STRATEGIC MUNICIPAL BOND FUND, INC."
856128,MFS SPECIAL VALUE TRUST
858706,NEW GERMANY FUND INC
858707,NEW IRELAND FUND INC
859765,KAVILCO INC/WA/
859796,JAPAN SMALLER CAPITALIZATION FUND INC
